Barcode     Status               ISBN
----------- -------------------- -------------
100000      AVAILABLE            0068972888455
100001      BROKEN               0079993968
100002      DELETED              0074448975096
100003      LEND                 0055216440
100004      LEND                 0021029657
100005      FORBIDDEN            0096733635911
100006      FORBIDDEN            0089825296
100007      DELETED              0043739307
100008      SOLD                 0094853317
100009      BROKEN               0026610503466
100010      LEND                 0029165031
100011      SOLD                 0045791414995
100012      BROKEN               0061275506
100013      BROKEN               0045990274674
100014      BROKEN               0095106391
100015      FORBIDDEN            0003138601
100016      AVAILABLE            0084950458890
100017      BROKEN               0096313267315
100018      LEND                 0064240322603
100019      DELETED              0032126757
100020      DELETED              0079643329
100021      AVAILABLE            0083746416
100022      BROKEN               0095787435443
100023      BROKEN               0003333935913
100024      SOLD                 0066426377
100025      SOLD                 0052136946717
100026      LEND                 0091998616500
100027      BROKEN               0065278621354
100028      AVAILABLE            0053868297751
100029      FORBIDDEN            0008814979809
100030      DELETED              0019344913256
100031      SOLD                 0044567994
100032      AVAILABLE            0029814906202
100033      DELETED              0095476236354
100034      SOLD                 0062007444
100035      BROKEN               0073860716
100036      FORBIDDEN            0098226506
100037      AVAILABLE            0037846015
100038      BROKEN               0034775601
100039      BROKEN               0093607056752
100040      AVAILABLE            0050721327678
100041      BROKEN               0067684124
100042      BROKEN               0012498037
100043      DELETED              0097393828611
100044      LEND                 0089911213
100045      FORBIDDEN            0076741735899
100046      AVAILABLE            0034340061309
100047      BROKEN               0044896615524
100048      BROKEN               0014814944
100049      LEND                 0023034433033
100050      SOLD                 0041434193
100051      AVAILABLE            0068035736
100052      LEND                 0059940441
100053      LEND                 0047640757
100054      FORBIDDEN            0020029885
100055      LEND                 0086880869
100056      FORBIDDEN            0080971609894
100057      FORBIDDEN            0070314466269
100058      BROKEN               0084702235
100059      BROKEN               0064329007025
100060      BROKEN               0060554500569
100061      DELETED              0022780372975
100062      DELETED              0088519682
100063      FORBIDDEN            0088782099443
100064      LEND                 0009311807
100065      BROKEN               0082609884
100066      BROKEN               0017476998
100067      LEND                 0062186958988
100068      SOLD                 0081122520487
100069      FORBIDDEN            0022857465
100070      FORBIDDEN            0096534808211
100071      FORBIDDEN            0047154143995
100072      AVAILABLE            0062695338
100073      SOLD                 0068078144695
100074      DELETED              0078048706249
100075      SOLD                 0010867867
100076      DELETED              0069071736
100077      LEND                 0102606487455
100078      LEND                 0013432447103
100079      SOLD                 0089631425
100080      BROKEN               0019573332
100081      SOLD                 0046814249
100082      FORBIDDEN            0053268035
100083      SOLD                 0033259441500
100084      LEND                 0063758152521
100085      LEND                 0045892411
100086      BROKEN               0081986839
100087      SOLD                 0104637505324
100088      BROKEN               0076460309864
100089      BROKEN               0074108018255
100090      BROKEN               0092100652
100091      AVAILABLE            0029601033
100092      BROKEN               0051860150432
100093      AVAILABLE            0063328747
100094      FORBIDDEN            0034038631
100095      SOLD                 0028246134
100096      LEND                 0080201046
100097      SOLD                 0023060567735
100098      AVAILABLE            0019277794
100099      BROKEN               0007210184
100100      LEND                 0103442209
100101      FORBIDDEN            0065997543526
100102      FORBIDDEN            0061121467
100103      BROKEN               0091717473
100104      DELETED              0102527944
100105      SOLD                 0091797245172
100106      AVAILABLE            0007090894
100107      BROKEN               0089064322
100108      FORBIDDEN            0064314260255
100109      AVAILABLE            0010335521
100110      SOLD                 0015197964979
100111      SOLD                 0011283439
100112      BROKEN               0058663348
100113      FORBIDDEN            0093454726
100114      FORBIDDEN            0047787271
100115      FORBIDDEN            0015016849
100116      DELETED              0098539093
100117      BROKEN               0056023876896
100118      SOLD                 0023394275
100119      FORBIDDEN            0059838070334
